,orf,hits_count,read_count,hits_count_pro,reads_count_pro,orf_len,NI_index,HFI_normalized,label
359,YBR109W-A,3,26,1,1,224,130,0.4776785714285714,
360,YBR110W,4,7,0,0,1349,3,0.8094885100074131,ess
361,YBR111C,27,774,5,74,695,3,0.2258992805755396,
362,YBR111W-A,3,29,1,2,440,3,0.8136363636363636,
363,YBR112C,12,71,0,0,2900,20,0.2889655172413793,
364,YBR113W,0,0,0,0,482,20,1.0,
365,YBR114W,45,622,2,147,2372,14,0.13827993254637436,
366,YBR115C,85,1039,2,45,4178,36,0.13714696026807086,
367,YBR116C,30,1177,9,168,527,10,0.31499051233396586,
368,YBR117C,79,1513,6,76,2045,10,0.08753056234718827,
369,YBR118W,0,0,4,9,1376,33,1.0,
370,YBR119W,15,200,2,9,985,33,0.2862944162436548,
371,YBR120C,4,8,3,50,488,38,0.4733606557377049,
372,YBR121C,1,1,0,0,2003,11,0.7968047928107839,ess
373,YBR121C-A,0,0,0,0,158,37,1.0,
374,YBR122C,5,11,2,2,533,14,0.5028142589118199,
375,YBR123C,7,31,0,0,1949,20,0.4781939456131349,
376,YBR124W,7,98,0,0,359,20,0.9275766016713092,
377,YBR125C,25,536,2,32,1181,18,0.1371718882303133,
378,YBR126C,17,82,1,2,1487,7,0.17081371889710828,
379,YBR126W-A,16,437,20,429,206,7,0.1650485436893204,
380,YBR126W-B,13,410,9,218,143,7,0.2027972027972028,
381,YBR127C,9,209,2,20,1553,51,0.7063747585318738,
382,YBR128C,32,367,9,118,1034,51,0.2059961315280464,
383,YBR129C,4,54,8,459,986,0,0.5172413793103449,
384,YBR130C,9,91,1,5,1277,7,0.4941268598277212,
385,YBR131W,22,84,5,134,2114,7,0.2582781456953642,
386,YBR131C-A,0,0,0,0,89,7,1.0,
387,YBR132C,45,1778,5,63,1790,7,0.17486033519553076,
388,YBR133C,66,951,3,9,2483,1,0.09947643979057592,
389,YBR134W,31,355,0,0,401,1,0.20448877805486285,
390,YBR135W,6,26,1,4,452,1,0.3141592920353982,
391,YBR136W,27,349,1,2,7106,4,0.3767238952997467,
392,YBR137W,11,75,1,2,539,4,0.24304267161410015,
393,YBR138C,35,389,0,0,1574,4,0.16518424396442186,
394,YBR139W,46,511,10,375,1526,24,0.1218872870249017,
395,YBR140C,145,5031,2,20,9278,29,0.0617589997844363,
396,YBR141C,24,317,2,13,1013,10,0.2290227048371175,
397,YBR141W-A,1,1,6,33,95,29,0.5894736842105263,
398,YBR142W,16,74,0,0,2321,43,0.17621714778112882,ess
399,YBR143C,4,30,0,0,1313,12,0.4508758568164509,ess
400,YBR144C,29,595,20,527,314,12,0.17834394904458598,
401,YBR145W,26,359,5,75,1055,16,0.1734597156398104,
402,YBR146W,13,101,0,0,836,3,0.2751196172248804,
403,YBR147W,19,445,3,10,890,8,0.3101123595505618,
404,YBR148W,32,385,3,69,1829,15,0.14215418261344998,
405,YBR149W,35,708,16,438,1034,0,0.1286266924564797,
406,YBR150C,45,394,6,57,3284,7,0.20919610231425093,
407,YBR151W,17,231,0,0,950,206,0.2505263157894737,
408,YBR152W,9,82,1,5,875,208,0.3051428571428572,
